ROI number, volume,x,y,z
1,162,-39.6,-85.4,1.4
2,269,-49.7,-60.8,23.2
3,284,13.3,-64.4,24
4,243,-36.6,-13.9,-2.3
5,222,-6.8,45.7,7.8
6,267,9.1,-35.9,47.1
7,247,55.2,-47.5,41.9
8,235,-40.7,-21.3,54.3
9,235,-19.3,-62.1,-26.1
10,204,43.3,-55.2,-32.2
11,287,-58.9,-30.2,-2.4
12,154,27.7,58.2,-1.6
13,239,2.8,12.4,49.4
14,289,53.8,-55.4,23.5
15,173,13.5,12.3,-7
16,261,-49.1,-65.4,-4.3
17,240,46,9.1,32.1
18,212,11.6,-20,9.5
19,291,-9.9,-67.4,22.4
20,191,-32.7,19.7,2
21,215,-8.8,-38,69.3
22,213,6.7,42.6,6.1
23,200,-42.1,41.2,13.3
24,191,-58.1,-26.9,16
25,207,44.5,40.7,14.5
26,240,43.2,-73.6,-10.9
27,153,-30.5,-5.1,-32.6
28,240,30.4,-33.7,63.4
29,154,1.6,-16.5,34.8
30,194,2.9,-28,-36
31,207,29.7,-54.6,59.7
32,170,43.5,9.9,-36.2
33,183,-56.5,-43.3,26.5
34,198,-45.6,8,31.7
35,193,41,-4.7,10.8
36,163,-40.1,-52.6,-33.2
37,234,-13.4,-32.3,0.8
38,235,42.4,23.8,37.6
39,193,62.9,-43,-7.8
40,297,1.6,33.3,24.3
41,177,30.1,-39.3,-31.6
42,92,-28.3,50.7,-11.6
43,156,-38.9,5.7,-39.4
44,221,13.5,-94.4,2.2
45,202,-8.2,-17.9,10.6
46,227,1.9,-38.2,32.2
47,256,-13.8,12.6,-2.9
48,236,18.5,-34.6,-1.8
49,222,61.9,-21.1,-15.6
50,211,-28.2,-6.3,58
51,222,-0.1,38.9,-12.2
52,161,-7.3,-45.4,-39.5
53,208,44.6,29.2,-9.5
54,294,-5.4,-87.2,25
55,247,0.3,16.3,32.3
56,203,-51.9,-50.2,42.1
57,126,-28.4,31.1,-15.3
58,231,1.5,-52.8,14.8
59,240,36.7,17.2,3.6
60,266,43.3,-19.9,53.7
61,169,-39.1,20.3,42.2
62,237,34,-31.4,-16.4
63,231,-43.9,-52.7,-18.6
64,230,28.8,-0.3,56.8
65,254,12.3,-44.8,67.7
66,291,61.4,-17.4,12.2
67,230,-27.8,1.1,3.2
68,216,1.6,-20.8,-7.6
69,282,60,-44.5,10.8
70,226,-11.3,-70.4,5.9
71,168,29.6,24.6,-15.1
72,222,-56.4,-15.1,-15.3
73,235,-43,0.8,47.6
74,175,-44,33,-8.1
75,172,31.7,54.8,14.9
76,249,-7.9,-33.1,45.5
77,228,17.2,-80.1,-28.7
78,153,-40.6,12.9,-28.2
79,248,0,-0.3,42.2
80,256,-36.7,-71,-31.6
81,285,13.5,-77.4,38.9
82,211,-42.9,-67,40.7
83,204,47.8,7.9,-9.3
84,83,-12.4,5.4,14
85,213,46.9,-73.6,15.5
86,185,9.1,-43.9,-37.1
87,142,37.8,-12.8,-26
88,167,-57.3,-8.6,25.7
89,341,8.1,-74,6.5
90,210,-17,-16.1,70
91,198,0.3,51.6,26.5
92,220,-18.7,-7.4,-15.9
93,296,40.6,-43.2,48.2
94,87,14.2,-0.5,17.5
95,265,-26,11.7,56.2
96,221,-28.8,-35.9,62.4
97,239,-33.6,-81.3,26.2
98,216,60.1,-1.3,25
99,188,-58,-48.3,-8.1
100,282,48,-52.7,-16.7
101,157,-51,-3.6,-28.8
102,179,35.8,-86.8,9.6
103,165,-28.4,-40,-30.7
104,178,-9.2,62,14.2
105,275,18.2,-55.5,3.2
106,205,28.6,34.6,42
107,254,55.1,-28.8,0.1
108,266,-6.9,-93.4,1.1
109,193,1.4,55.9,-7.2
110,212,30.9,5.8,-19
111,296,2.1,-23.6,68.5
112,227,-28.9,12.1,-16.6
113,195,42.9,49.6,-4.4
114,287,-25.8,-74.1,41.1
115,239,44.4,0.9,50
116,184,-55.9,-28.7,36.6
117,273,-56.8,-48.2,9
118,267,21.1,-59.3,-25.2
119,254,55.8,3.8,5.8
120,249,-17.3,-81.3,-30.9
121,210,-39.7,-12.9,13.3
122,238,-27.6,-38,-11.4
123,292,0.4,-15.1,51.8
124,67,28.3,43.8,-13.5
125,203,-30.6,38,33.8
126,228,35.7,-73,-30.6
127,205,31,18,52.7
128,282,61.2,-31.4,26.6
129,247,-45,-0.7,-14.6
130,177,0.7,-3.4,-8.7
131,188,-25.5,-92.9,12
132,206,29.9,-67.5,47.3
133,206,-9.1,46.4,40.6
134,178,24.6,-13.5,67
135,143,15.3,14.6,7
136,247,-14,-66.3,55.9
137,237,40.7,-11.3,-3.9
138,314,22.5,-69.6,-11.3
139,202,10.7,63,10
140,201,55.1,-3.6,-25.4
141,214,-49.2,22.9,9.3
142,187,17.8,-89.5,22.7
143,252,53.5,-61.8,1
144,174,52.1,28,4.9
145,176,-31.9,-21.1,-18.8
146,230,-56,-10.9,5.6
147,213,-7.6,-74.8,41.1
148,172,1.7,-4.4,5.3
149,261,-0.2,31.1,45.5
150,207,-46.1,-72.1,12.1
151,196,-44,26.5,26.6
152,369,1.7,-56.9,-12.7
153,204,58.4,-7.8,-7.8
154,193,-51.2,-14.1,40.4
155,262,21.3,-11.9,-16.4
156,234,-33.9,-53.8,49.5
157,224,54.2,-11.9,39.3
158,236,-21.1,-91.8,-12.1
159,235,-35.8,-78.1,-14.9
160,157,0.1,20.4,-8
161,215,10.6,1.3,65.9
162,229,-9.2,-44,-24.1
163,266,10.3,-63.5,56.2
164,248,51.9,21,21.1
165,167,-54.1,7.2,18.2
166,252,44.9,-65.5,39.3
167,212,-25.3,52,22.9
168,203,32.9,44.6,28.1
169,119,-40.9,48.7,-3.4
170,222,33.3,-78.1,31.1
171,220,-42.5,-38,47.8
172,254,28.1,-49.1,-13
173,182,-8.6,19.9,60.4
174,350,-0.7,-55.1,38.3
175,190,30.8,-87.5,-10.9
176,219,1.1,-63.2,-33.4
177,277,-14.3,-74.2,-10.1
178,251,27.2,0.8,-0.1
179,258,-13.3,-52.9,-0.7
180,224,56,-29.6,43.9
181,136,45.7,13.3,-22.7
182,220,-8.1,0.5,65.9
183,164,-27.8,56.9,4.7
184,206,-46.7,5,2.8
185,222,44.5,-24.8,16.1
186,198,12.1,43.1,45.4
187,198,13.5,21.7,59.8
188,192,-18.6,-52.6,65.2
189,252,-27.6,-58.3,-13.6
190,234,16,-34.5,-21.4
191,210,-21.3,30,47.3
192,245,-0.7,-77.8,-23.2
193,145,15,56.3,29.4
194,199,1,-30.8,-17.5
195,249,9,-86.9,-12.3
196,189,-46.4,13.8,-11.2
197,125,-3.9,-53.1,57.4
198,157,30.8,-1.4,-36.2
199,173,-15,-30.8,-18.3
200,211,-41.9,-31.5,15.2